program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);bandwidths(Mbs);input_size;runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB)
31;BINARY;semihonest;shamir-bmr;3;NA;NA;NA;70;30;0.964208;1.01;46;16;NA;10.0261;NA
31;BINARY;semihonest;shamir-bmr;3;NA;NA;NA;75;30;0.890989;0.93;44;17;NA;10.0261;NA
31;BINARY;semihonest;shamir-bmr;3;NA;NA;NA;80;30;0.85689;0.90;49;17;NA;10.0261;NA
31;BINARY;semihonest;shamir-bmr;3;NA;NA;NA;85;30;0.805908;0.86;43;17;NA;10.0261;NA
31;BINARY;semihonest;shamir-bmr;3;NA;NA;NA;90;30;0.75994;0.80;46;19;NA;10.0261;NA
31;BINARY;semihonest;shamir-bmr;3;NA;NA;NA;95;30;0.72871;0.77;48;19;NA;10.0261;NA
31;BINARY;semihonest;shamir-bmr;3;NA;NA;NA;100;30;0.70952;0.75;48;20;NA;10.0261;NA
31;BINARY;semihonest;rep-bmr;3;0.38;32;1;10;30;3.77524;3.82;39;3;NA;4.82333;NA
31;BINARY;semihonest;rep-bmr;3;NA;NA;NA;15;30;2.53002;2.57;37;4;NA;4.82333;NA
31;BINARY;semihonest;rep-bmr;3;NA;NA;NA;20;30;1.91468;1.95;39;5;NA;4.82333;NA
31;BINARY;semihonest;rep-bmr;3;NA;NA;NA;25;30;1.54712;1.60;38;8;NA;4.82333;NA
31;BINARY;semihonest;rep-bmr;3;NA;NA;NA;30;30;1.30363;1.35;40;9;NA;4.82333;NA
31;BINARY;semihonest;rep-bmr;3;NA;NA;NA;35;30;1.12985;1.18;38;11;NA;4.82333;NA
31;BINARY;semihonest;rep-bmr;3;NA;NA;NA;40;30;0.993586;1.03;43;11;NA;4.82333;NA
31;BINARY;semihonest;rep-bmr;3;NA;NA;NA;45;30;0.892113;0.93;39;12;NA;4.82333;NA
31;BINARY;semihonest;rep-bmr;3;NA;NA;NA;50;30;0.810354;0.85;38;13;NA;4.82333;NA
31;BINARY;semihonest;rep-bmr;3;NA;NA;NA;55;30;0.746946;0.79;36;14;NA;4.82333;NA
31;BINARY;semihonest;rep-bmr;3;NA;NA;NA;60;30;0.688887;0.73;36;16;NA;4.82333;NA
31;BINARY;semihonest;rep-bmr;3;NA;NA;NA;65;30;0.642863;0.69;38;17;NA;4.82333;NA
31;BINARY;semihonest;rep-bmr;3;NA;NA;NA;70;30;0.60116;0.64;39;17;NA;4.82333;NA
31;BINARY;semihonest;rep-bmr;3;NA;NA;NA;75;30;0.567475;0.61;39;20;NA;4.82333;NA
31;BINARY;semihonest;rep-bmr;3;NA;NA;NA;80;30;0.536429;0.58;39;19;NA;4.82333;NA
31;BINARY;semihonest;rep-bmr;3;NA;NA;NA;85;30;0.510196;0.55;37;22;NA;4.82333;NA
31;BINARY;semihonest;rep-bmr;3;NA;NA;NA;90;30;0.487691;0.53;38;21;NA;4.82333;NA
31;BINARY;semihonest;rep-bmr;3;NA;NA;NA;95;30;0.464425;0.50;38;16;NA;4.82333;NA
31;BINARY;semihonest;rep-bmr;3;NA;NA;NA;100;30;0.445725;0.49;38;25;NA;4.82333;NA
